iter	Passed	Remaining
673	15915	7698
674	15941	7675
675	15962	7650
676	15985	7626
677	16008	7603
678	16031	7578
679	16056	7555
680	16081	7533
681	16106	7509
682	16131	7487
683	16156	7463
684	16180	7440
685	16205	7417
686	16229	7394
687	16254	7371
688	16278	7347
689	16302	7324
690	16325	7300
691	16349	7277
692	16372	7253
693	16398	7230
694	16422	7206
695	16445	7183
696	16468	7159
697	16492	7135
698	16516	7112
699	16540	7088
700	16563	7064
701	16587	7041
702	16611	7018
703	16634	6994
704	16658	6970
705	16682	6947
706	16706	6923
707	16730	6900
708	16752	6876
709	16777	6852
710	16799	6828
711	16822	6804
712	16847	6781
713	16869	6757
714	16893	6733
715	16917	6710
716	16942	6687
717	16965	6663
718	16989	6639
719	17014	6616
720	17037	6592
721	17061	6569
722	17086	6546
723	17110	6522
724	17133	6498
725	17156	6474
726	17182	6452
727	17205	6428
728	17229	6405
729	17252	6381
730	17275	6357
731	17298	6333
732	17321	6309
733	17342	6284
734	17365	6260
735	17390	6237
736	17412	6213
737	17435	6189
738	17458	6165
739	17483	6143
740	17506	6119
741	17529	6095
742	17555	6072
743	17579	6048
744	17602	6025
745	17625	6001
746	17648	5977
747	17671	5953
748	17694	5929
749	17718	5906
750	17743	5882
751	17765	5858
752	17789	5835
753	17813	5811
754	17836	5788
755	17860	5764
756	17884	5740
757	17906	5716
758	17932	5693
759	17958	5671
760	17982	5647
761	18006	5624
762	18029	5600
763	18053	5576
764	18075	5552
765	18098	5528
766	18121	5504
767	18144	5481
768	18166	5457
769	18191	5433
770	18214	5409
771	18236	5385
772	18260	5362
773	18283	5338
774	18307	5315
775	18330	5291
776	18353	5267
777	18375	5243
778	18399	5220
779	18422	5196
780	18444	5172
781	18468	5148
782	18493	5125
783	18515	5101
784	18540	5077
785	18564	5054
786	18587	5030
787	18612	5007
788	18635	4983
789	18658	4959
790	18682	4936
791	18707	4913
792	18729	4889
793	18751	4864
794	18774	4841
795	18798	4817
796	18821	4793
797	18842	4769
798	18863	4745
799	18886	4721
800	18907	4697
801	18931	4673
802	18954	4650
803	18977	4626
804	19001	4602
805	19025	4579
806	19050	4556
807	19074	4532
808	19097	4508
809	19125	4486
810	19155	4464
811	19185	4441
812	19208	4418
813	19232	4394
814	19255	4370
815	19279	4347
816	19308	4324
817	19333	4301
818	19361	4278
819	19385	4255
820	19407	4231
821	19430	4207
822	19453	4183
823	19475	4159
824	19500	4136
825	19523	4112
826	19546	4088
827	19570	4065
828	19597	4042
829	19621	4018
830	19646	3995
831	19671	3972
832	19696	3948
833	19719	3924
834	19743	3901
835	19767	3877
